Wall time,Step,Value
1686225047.298559,0,1.199620246887207
1686225052.185083,1,1.0660351514816284
1686225057.727726,2,1.0404369831085205
1686225062.418132,3,1.0183804035186768
1686225066.856281,4,1.0021865367889404
1686225071.419752,5,0.9883134961128235
1686225075.814672,6,0.9765821099281311
1686225080.655914,7,0.9700355529785156
1686225085.246947,8,0.9626379609107971
1686225090.783177,9,0.9521580338478088
1686225096.52369,10,0.9481454491615295
1686225102.393147,11,0.9404122829437256
1686225108.074858,12,0.9289916157722473
1686225112.736778,13,0.928530216217041
1686225117.039886,14,0.9217926263809204
